normal_form,type,variants_in_text,count
хоббитанией,LOC,хоббитанией,3
хельма,LOC,хельма,3
хельма,PER,хельма,3
ветлянка,PER,ветлянка,3
белогривки,LOC,белогривки,3
безмолвные соглядатаи,PER,безмолвные соглядатаи,3
тинувиэль,PER,тинувиэль,3
тенгела,PER,тенгела,3
теоден,LOC,теодена,3
тебе-то,PER,тебе-то,3
тайные чащобы,LOC,"тайных чащобах, тайные чащобы",3
сэм,LOC,сэма,3
ветробой,PER,ветробой,3
великое море,LOC,"великое море, великого моря",3
врата,LOC,врата,3
изенмаут,PER,"изенмаута, изенмаут",3
изена,PER,изена,3
золотинке,PER,золотинке,3
всадник,PER,всадник,3
всадникам,PER,всадникам,3
око,LOC,око,3
оком,PER,оком,3
овид,PER,"овиде, овидом",3
нуменора,PER,нуменора,3
нин,PER,нин,3
онтомолвище,LOC,онтомолвище,3
бельфалас,LOC,"бельфалас, бельфаласа",3
белогрива,PER,белогрива,3
сэм-то,PER,сэм-то,3
сэмова,PER,"сэмова, сэмову",3
стэрру,LOC,стэрру,3
старый крол,PER,старый крол,3
стезя,PER,"стезе, стезя",3
стибба,PER,стибба,3
земля,LOC,"землю, земле",3
зарок,PER,"зарок, зарока",3
арнор,PER,"арнора, арнор",3
хэмбридж,PER,"хэмбридж, хэмбриджа",3
пеленнор,LOC,"пеленнором, пеленнор",3
палатам врачеванья,PER,палатам врачеванья,3
быстрокрыл,PER,быстрокрыл,3
бэмаров,PER,бэмаров,3
ородруину,LOC,ородруину,3
прелессть,PER,прелессть,3
подгорного царства,PER,подгорного царства,3
подгорное царство,LOC,подгорное царство,3
пина,LOC,пина,3
пит,PER,пит,3
валимар,PER,валимар,3
перекресток,LOC,"перекрестку, перекрестка",3
хоромин,PER,хоромин,3
галадриэлью,PER,галадриэлью,3
желтая морда,PER,"желтая морда, желтой морды",3
призрачное воинство,PER,призрачное воинство,3
привратница,PER,привратница,3
прелестью,PER,прелестью,3
булкинсы,PER,булкинсы,3
белый всадник,LOC,"белого всадника, белый всадник",3
белый конь,LOC,"белый конь, белым конем",3
средиземье,PER,средиземье,3
бирюка,PER,бирюка,3
дунхерг,PER,"дунхерга, дунхерг",3
дудстоны,LOC,дудстоны,3
древний лес,LOC,древний лес,3
древня,LOC,древня,3
древо,PER,древо,3
эдаины,PER,"эдаины, эдаинов",3
следопытами,PER,следопытами,3
боромиру элронд,PER,боромиру элронд,3
раздел,LOC,раздела,3
раздола,PER,раздола,3
бродяжника,PER,бродяжника,3
бруинен,PER,"бруинена, бруинен",3
приозерное королевство,LOC,приозерного королевства,3
шаркича,PER,шаркича,3
арагорном,PER,арагорном,3
дороднинги,LOC,дороднинги,3
длиннохвостья,LOC,длиннохвостья,3
дол-амрота,LOC,дол-амрота,3
